,ID,characteristics_of_deformation,country,deformation_observation,duration_of_observation,geodetic_measurements,inferred_causes,latitude,longitude,measurement_methods,name,references,volcano_number,image_url,Area
10,4789,"<p>No deformation was detected at Aguas Delgadas during a regional InSAR survey of Central Andean Volcanoes (Henderson &amp; Pritchard, 2013).</p>
",Chile,No,1992-2011,Yes,,-24.45,-68.4,InSAR,Aguas Delgadas,"[Henderson S. T., and M. E. Pritchard (2013), Decadal volcanic deformation in the Central Andes Volcanic Zone revealed by InSAR time series, Geochem. Geophys. Geosyst., 14, 1358–1374, doi:10.1002/ggge.20074.<br />
]",355857,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/aira/aira_163D_05736_131313.jpg,South America
11,5117,"<p>No deformation was detected at Aguilera volcano during an ERS survey of Austral Andes Volcanoes (Pritchard and Simons, 2004).</p>
",Chile,No,1993-1999,Yes,,-50.33,-73.75,InSAR,Aguilera,"[Pritchard, M. E., and M. Simons (2004), An InSAR-based survey of volcanic deformation in the southern Andes, Geophys. Res. Lett., 31, L15610, doi:10.1029/2004GL020545.<br />
]",358062,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/aira/aira_163D_05930_081309.jpg,South America
12,4276,"<p>The last eruption for this volcano was between February 1963 and January 1964. Known to be one of the most significant eruption from Indonesia in the twentieth century.<br />
Several studies of the deformation using InSAR were conducted at Agung. One of them Lingun et  (2013) produced time series from ALOS Palsar images from 2007 to 2009, where vertical deformation. This study correlated the deformation with time and modeled the deformation from two different sources, one is a Mogui point source and a vertical prolate spheroid. They concluded that the volcano inflated at a constant rate with a depth of 5km below the summit.<br />
Another study Chaussard (2012), with almost the same time frame than the above at the Sunda Arc from 2006 to 2009 used the same satellite obtain the location for the reservoir between ~1-3km of depth. The calculated deformation velocity for the Agung Volcano was between 3-8 cm/yr</p>
",Indonesia,Yes,2006 to 2009,Yes,,-8.342,115.508,InSAR,Agung,"[Lingyun, J., Qingliang, W., & Shanlan, Q. (2013). Present-day deformation of Agung volcano, Indonesia, as determined using SBAS-InSAR. Geodesy and Geodynamics, 4(3), 65-70., Chaussard, E., & Amelung, F. (2012). Precursory inflation of shallow magma reservoirs at west Sunda volcanoes detected by InSAR. Geophysical Research Letters, 39(21).]",264020,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/akademia_nauk/akademia-nauk_060D_03564_131313.jpg,Indonesia
13,3368,"<p>Aira caldera is located within Kagoshima Bay at the southern end of Kyushu in Japan. Sakurajima, an active andesitic stratovolcano, sits on the southern rim of the caldera. It is Japan&#8217;s most active volcano, often experiencing daily Vulcanian eruptions.<br />
Aira caldera, and Sakurajima in particular, are closely monitored by the Sakurajima Volcano Research Centre &#8211; part of the University of Kyoto and Disaster Prevention Research Institute. Deformation has been recorded at Aira caldera since 1892 with campaign levelling surveys. This captured the 1m of subsidence associated with the 1914 Plinian eruption of Sakurajima. More recently, the volcano is continuously monitored with GPS, tiltmeters and strainmeters. These are supplemented with campaign GPS and levelling surveys, and sporadic InSAR acquisitions.<br />
The recent deformation patterns show a large-scale radial outwards bulge with continual inflation, centred within the caldera. Between 1996 and 2007, GPS results indicated a maximum inflation rate of ~1.5 cm/yr (<em>Iguchi</em>, 2013; <em>Hickey et al</em>., 2015). This has generally been interpreted as magma supply to a deep reservoir beneath the caldera, with an average magma supply rate of ~10<sup>7</sup> m<sup>3</sup>/yr (<em>Iguchi</em>, 2013; <em>Hickey et al</em>., 2015). The location of the deformation source is somewhat undefined. &#8216;Mogi&#8217; model results place it directly beneath the centre of the caldera at 8 &#8211; 11 km depth (<em>Iguchi</em>, 2013; <em>Pepe et al</em>., 2013), or alternatively slightly south of this beneath the northern edge of Sakurajima (<em>Yokoyama</em>, 2013). Finite Element model inversions accounting for topography and three-dimensional crustal mechanics as well as thermal effects indicate a large oblate shaped reservoir beneath the north-eastern quadrant of the caldera at a depth of 13 km (<em>Hickey et al</em>., 2015).<br />
Alterations to the general large scale inflation pattern are thought to be caused by a second, shallower (3 &#8211; 6 km) deformation source inferred as a short-term magma reservoir (<em>Iguchi</em>, 2013; <em>Pepe et al</em>., 2013), and/or magma flowing between the two sources (<em>Hidayati et al</em>., 2007; <em>Iguchi</em>, 2013; <em>Hickey et al</em>., 2015).<br />
&nbsp;</p>
",Japan,Yes,"1892 - present (levelling), 1996 - present (GPS), 2006 - 2012 (InSAR), 1987 - present (tilt), 1990 - present (strain)",Yes,Magmatic,31.593000000000004,130.657,"InSAR, GPS - continuous, GPS - campaign, Levelling, Strainmeter, Tiltmeter",Aira,"[Iguchi, M. (2013), Magma movement from the deep to shallow Sakurajima volcano as revealed by geophysical observations, Bulletin of the Volcanological Society of Japan, 58(1), 1–18., Hickey, J., J. Gottsmann, M. Iguchi, and H. Nakamichi (2015), Persistent inflation at Aira caldera accompanying explosive activity at Skurajima volcano: Constraining deformation source parameters from Finite Element inversions, in EGU General Assembly, Vienna, Austria., Pepe, S., D. Trippanera, F. Casu, P. Tizzani, A. Nobile, Y. Aoki, S. Zoffoli, V. Acocella, and E. Sansosti (2013), The 2006-2012 deformation at Sakurajima stratovolcano (Japan) detected via spaceborne multisensor SAR Interferometry, in EGU General Assembly, Vienna, Austria., Yokoyama, I. (2013), An interpretation on secular changes in deformation caused by the 1914 eruption of Sakurajima volcano, Bulletin of the Volcanological Society of Japan, 58(1), 77–90., Hidayati, S., K. Ishihara, and M. Iguchi (2007), Volcano-tectonic earthquakes during the stage of magma accumulation at the Aira caldera, southern Kyushu, Japan, Bulletin of the Volcanological Society of Japan, 52(6), 289–309.]",282080,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/akhtang/akhtang_060D_03564_131313.jpg,"Japan, Taiwan, Marianas"
14,2267,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",Russia,No,1992 to 2003,Yes,,53.98,159.45,No measurements,Akademia Nauk,"[Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />
GSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm, Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300125]",300125,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/akhtang/akhtang_060D_03364_131312.jpg,Kamchatka and Mainland Asia
15,2344,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",Russia,No,1992 to 2003,Yes,,55.43,158.65,No measurements,Akhtang,"[Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />
GSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm, Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300320]",300320,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/akutan/akutan_044D_03600_070805.jpg,Kamchatka and Mainland Asia
16,949,"<p>During 1996 Akutan experienced a seismic swarm, and interferograms spanning June 1995 and September 1996 indicate ~60 cm of uplift on the western side of Akutan Island. This uplift is attributed to magma intrusion. On the northwest flank of the volcano, localised subsidence is observed in a region of intense ground cracking and extension. On the eastern half of the island, interferograms show broad subsidence comparable in magnitude to the uplift observed in the western part. This subsidence is coincident with thermal features and is thought to reflect depressurisation of the hydrothermal system as a result of the earthquake swarm. Displacements of ~5 cm are also observed on two normal faults that bound a graben on the southeast side of the island. This displacement suggests the island was in extension during the time of the earthquake swarm.<br />
This deformation episode is modelled using a four-source model including an expanding dike dipping at 75º with top depth 0.4 km, two contracting horizontal dislocation planes at depth 3.6 and 16.5 km, and a further steeply dipping contracting dislocation plane with top depth 6.7 km.<br />
Prior to and following the seismic swarm (1992 &#8211; 1995 and 1996 &#8211; 2002), the northwestern flank of Akutan was uplifted relative to the southwestern flank at ~1 cm/yr, whilst the region of ground cracking subsided by ~2 cm/yr following seismicity. This subsidence is thought to be caused by cooling and degassing of magma that was intruded in 1996.<br />
Uplift of the northwestern flank continued between 2004 and 2009 at ~1 cm/yr. This deformation is modelled at the same horizontal location as the dike source associated with the earthquake swarm but at a greater depth of 5 &#8211; 6.5 km and a shallower dip. This long term, steady uplift of the volcano is attributed to slow accumulation of magma.<br />
Interferograms also show persistent, time-varying subsidence within Akutan caldera at rates of 2 &#8211; 5 cm/yr. The source of this deformation is shallow (&lt;2 km depth) and is associated with the hydrothermal system.</p>
",United States,Yes,"1992 - 2002, 2004 - 2009",Yes,"Hydrothermal, Magmatic, Faulting/tectonics",54.13399999999999,-165.986,InSAR,Akutan,"[Lu, Zhong, Wicks, Charles, Kwoun, Ohig, Power, J.A., and Dzurisin, Daniel, 2005, Surface deformation associated with the March 1996 earthquake swarm at Akutan Island, Alaska, revealed by C-band ERS and L-band JERS radar interferometry: Canadian Journal of Remote Sensing, v. 31, p. 7-20., Lu, Z., and Dzurisin, D., 2014, InSAR imaging of Aleutian volcanoes: Chichester, UK, Springer-Praxis, 390 p., U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />
http://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Akutan]",311320,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/alayta/alayta_079D_07694_131313.jpg,Alaska
17,1951,"<p class=""p1"">A national seismic network is located in Saudi Arabia and the Saudi Geological Survey monitor some Holocene volcanoes in the country.</p>
",Saudi Arabia,,,No,,31.08,38.42,No measurements,Al Harrah,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=231001]",231001,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/alcedo/alcedo_128D_09014_090400.jpg,Middle East and Indian Ocean
18,5351,"<p>The Kamchatka Volcanic Eruption Response Team (KVERT) monitors Alaid<a href=""http://www.kscnet.ru/ivs/kvert/volcano.php?lang=en""> with satellite imagery</a> and seismonitors.</p>
",Russia,,,No,,50.861000000000004,155.565,No measurements,Alaid,"[Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=290808]",290390,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/ale_bagu/ale-bagu_079D_07694_131313.jpg,Kuril Islands
19,1380,"<p>Alayta is a shield volcano found at the western edge of the Danakil depression. The area has fresh lava flows, but no recent activity has been reported.<br />
<span style=""color: #333333;"">Pagli et al. (2014), for the purposes of investigating regional velocity fields, have looked at Envisat InSAR data covering this volcano. They report no deformation.<br />
</span></p>
",Ethiopia,No,,Yes,,12.888,40.573,InSAR,Alayta,"[Pagli, C. et al., 2014. Current plate boundary deformation of the Afar rift from a 3-D velocity field inversion of InSAR and GPS. Journal of Geophysical Research: Solid Earth, 119(11), pp. 8562-8575., NASA Landsat image, 1999. ]",221112,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/alid/alid_079D_07503_061113.jpg,Africa and Red Sea
20,1679,"<p class=""p1"">From Anzidei et al., 2010: An uplift of ~30 cm over the last 43 years was recently detected by levelling surveys performed in the time span 1950-1993 along a levelling line that crosses the highest elevation area of the western flank of the volcano. The comparison between the 1950-1999 surveys show significant uplift, whereas the subsequent surveys (1997-1999 and 2002) have not shown uplift at a confidence level of 95%. From 2002 to 2006, a small uplift is detected along the leveling line and the Albano lake levelling circuit.</p>
<p class=""p1"">Space-based GPS and InSAR observations confirm that this uplift is distributed in a wide area around the craters of Albano and Nemi, where the most recent volcanic activity occurred. GPS data from continuous monitoring stations indicate that both horizontal and vertical deformations do occur and that can be addressed to a shallow magmatic source.</p>
<p class=""p1"">The simplest model able to fit the low number of GPS observations (14 measurements from 6 GPS stations, 4 rejected due to local effects) is a point-pressure source at a depth of about 4.7 km, on the western flank of the Colli Albani complex.</p>
<p class=""p1"">A SAR dataset used to study the Colli Albani area is composed by ERS1 and ERS2 images, for a total of 66 SAR descending acquisitions available from June 1992 to December 2000, whilst 34 images from April 1993 until November 2000 concern the ascending dataset. An uplift zone, mainly located on the west part of the Colli Albani caldera complex is clearly evident. A maximum of about 2.5 mm/yr is measured by the PS close to the villages of Ariccia and Albano (Salvi <i>et al. </i>2004).</p>
<p class=""p1"">All data sets are in agreement and indicate that this volcano shows active deformation with uplift rates within 6 mm/year. These are mainly located in a well defined area that includes the surroundings of the Albano and Nemi lakes and the main villages of Marino, Albano and Ariccia, the area of the most recent volcanic activity.</p>
",Italy,Yes,1950 to present ,Yes,Magmatic,41.73,12.7,"InSAR, GPS - continuous, GPS - campaign, Levelling",Alban Hills,"[Anzidei, M., F. Rigussi, and S. Stramondo (2010) Current geodetic deformation of the Colli Albani volcano: A review, in The Colli Albani Volcano, Eds., R. Funiciello and G. Giordano, The Geological Society of London., Salvi, S., Atzori, S., Tolomei, C., Allevi, J., Ferretti, A., Rocca, F., Prati, C., Stramondo,<br />
S., Feuillet, N., 2004. Inflation rate of the Colli Albani volcanic complex retrieved by the<br />
permanent scatterers SAR interferometry technique. Geophysical Research Letter 31 (12).<br />
doi:10.1029/2004GL020253., Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=211004]",211004,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/aliso/aliso_142D_08947_131313.jpg,Mediterranean and W. Asia
21,4364,"<div class=""page"" title=""Page 14"">
<div class=""layoutArea"">
<div class=""column"">
If we assume a sim- ilar value for magma emplaced beneath Alcedo, between 0.6 and 10% of the magma would need to crystallize each year, to give the model distribution of volume reduction at 95% confidence. Note that the probability distribution for percentage of crystallization is less well constrained than that for volume reduction, as it also de- pends on the total volume which is not so well constrained. Cooling of the solidified magma could also contribute further to the volume reduction, with up to 2% contraction being the estimated value for solidified Krafla magma. Loss of volatiles from the magma chamber would reduce the pressure, also leading to a reduction in volume, but the pressure decrease required to produce the surface displacements
</div>
<div class=""column"">
would be between 23 and 370 MPa yr−1 at 95% confidence. This range is too high to be plausibly produced by the loss of volatiles alone. Ref 1
</div>
</div>
</div>
",Ecuador,Yes,1992 - 2001,Yes,Magmatic,-0.43,-91.12,InSAR,Alcedo,"[Hooper, A., Segall, P., & Zebker, H. (2007). Persistent scatterer interferometric synthetic aperture radar for crustal deformation analysis, with application to Volcán Alcedo, Galápagos. Journal of Geophysical Research: Solid Earth, 112(B7).]",353040,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/aliso/aliso_142D_09147_131313.jpg,South America
22,5244,"<p>Atzori et al (1999) processed ERS 1/2 InSAR data from 1996-1997 to look at Erta Ale, but report no deformation. In addition, <span style=""color: #333333;"">Pagli, et al. (2014), for the purposes of investigating regional velocity fields, has looked at Envisat InSAR data (2005 &#8211; 2010) covering this volcano. They also report no deformation.<br />
</span></p>
",Ethiopia,No,"1996-1997, 2005 - 2010",Yes,,13.52,40.63,InSAR,Ale Bagu,"[Atzori, S., Coltelli, M., Marsella, M., & Puglisi, G. (1999). ERS1/2 interferometry on Erta Ale volcano: the study of a proto-ocean ridge using SAR. Fringe 1999 Wokshop. , NASA Landsat image, 1999, Pagli, C. et al., 2014. Current plate boundary deformation of the Afar rift from a 3-D velocity field inversion of InSAR and GPS. Journal of Geophysical Research: Solid Earth, 119(11), pp. 8562-8575.]",221090,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/almolonga/almolonga_026D_07514_131212.jpg,Africa and Red Sea
23,5144,,Chile,,,No,,-33.763000000000005,-80.811,No measurements,Alexander Selkirk,[http://volcano.si.edu/volcano.cfm?vn=356801],356801,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/alngey/alngey_060D_03181_131009.jpg,South America
24,1526,"<p><span style=""color: #333333;"">Alid is a elongated (east-west) stratovolcano located in the Danakil depressed, Afar. Deposits are mostly basaltic to rhyolitic lava flows. </span>Pagli, et al. (2014), for the purposes of investigating regional velocity fields, has looked at Envisat InSAR data (2005 – 2010) covering this volcano. They report no deformation. Some fumarolic activity can be found towards this north of this volcano however.<br />
The most recent eruptions are thought to be fissure eruptions of Holocene age (Siebert and Simkin, 2002). .</p>
",Eritrea,No,2005 - 2010,Yes,,14.88,39.92,InSAR,Alid,"[Pagli, C. et al., 2014. Current plate boundary deformation of the Afar rift from a 3-D velocity field inversion of InSAR and GPS. Journal of Geophysical Research: Solid Earth, 119(11), pp. 8562-8575., Siebert, L., and T. Simkin (2002), Volcanoes of the World: An Illustrated Catalogue of Holocene Volcanoes and Their Eruptions, Global Volcanism Program Digital Inf. Ser., GVP‐3, Smithsonian Inst., Washington, D. C. [Available at http://www.volcano.si.edu/world/.]]",221040,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/alutu/alutu_079D_08294_131313.jpg,Africa and Red Sea
25,4128,"<p>No deformation was detected at the Aliso volcano complex during a regional ALOS survey of Northern Andes Volcanoes (Morales Rivera et al., 2016).</p>
",Ecuador,No,2007-2011,Yes,,-0.53,-78.0,InSAR,Aliso,"[Morales Rivera, A. M., F. Amelung, and P. Mothes (2016), Volcano deformation survey over the Northern and Central Andes with ALOS InSAR time series, Geochem. Geophys. Geosyst., 17, 2869–2883, doi:10.1002/2016GC006393.]",352031,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/amasing/amasing_017D_09055_091313.jpg,South America
26,685,,Canada,,,No,,60.42,-135.42,No measurements,Alligator Lake,"[Hickson C J, Edwards B R, 2001. Volcanoes and Volcanic Hazards in Canada. In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248]",320020,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/ambalatungan_group/ambalatungan-group_032D_07332_121313.jpg,Canada and Western USA
27,1307,"<p>No deformation was detected at Almolonga (detection threshold 0.8 cm/yr) during an ALOS survey of Central American volcanoes (Ebmeier et al., 2013).</p>
",Guatemala,No,2007-2010,Yes,,14.797,-91.51899999999999,InSAR,Almolonga,"[Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.]",342040,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/amorong/amorong_032D_07332_121313.jpg,Mexico and Central America
28,2383,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",Russia,No,1992 to 2003,Yes,,56.7,159.65,InSAR,Alney-Chashakondzha,"[Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />
GSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm, Smithsonian Institution Global Volcanism Program<br />
http://www.volcano.si.edu/volcano.cfm?vn=300450]",300450,https://comet.nerc.ac.uk/wp-content/uploads/figures_sentinel/amukta/amukta_015D_03736_040402.jpg,Kamchatka and Mainland Asia
