jasmin_name,name,ID,country,geodetic_measurements,deformation_observation,duration_of_observation,characteristics_of_deformation,latitude,longitude,measurement_methods,inferred_causes,references,Area,frames
agung,Agung,264020,Indonesia,Yes,Yes,2017 to 2017,"<p>The last major eruption for this volcano was between February 1963 and January 1964. Known to be one of the most significant eruption from Indonesia in the twentieth century.</p>
<p>Agung erupts again on 21 November 2017 eruption, after 54 years of dormancy. Albino et al (2019) observed an uplift between Agung and its neighbouring Batur volcano, interpreting it as a dyke shaped intrusion between these volcanoes that was controlled by edifice loading.</p>
<p>Prior to the 2017 eruption, several volcano deformation studies using InSAR were conducted at Agung. One of them, Lingun et  (2013) produced a time series from ALOS PALSAR images from 2007 to 2009, where vertical deformation. This study correlated the deformation with time and modelled the deformation from two different sources, one is a Mogui point source and a vertical prolate spheroid. They concluded that the volcano inflated at a constant rate with a depth of 5km below the summit.<br />
Another study Chaussard (2012), with almost the same time frame than the above at the Sunda Arc from 2006 to 2009 used the same satellite obtain the location for the reservoir between ~1-3km of depth. The calculated deformation velocity for the Agung Volcano was between 3-8 cm/yr.</p>
",-8.342,115.508,InSAR,Magmatic,"['Albino, F., Biggs, J., & Syahbana, D. K. (2019). Dyke intrusion between neighbouring arc volcanoes responsible for 2017 pre-eruptive seismic swarm at Agung. Nature communications, 10(1), 748.', 'Lingyun, J., Qingliang, W., & Shanlan, Q. (2013). Present-day deformation of Agung volcano, Indonesia, as determined using SBAS-InSAR. Geodesy and Geodynamics, 4(3), 65-70.', 'Chaussard, E., & Amelung, F. (2012). Precursory inflation of shallow magma reservoirs at west Sunda volcanoes detected by InSAR. Geophysical Research Letters, 39(21).']",Indonesia,
aira,Aira,282080,Japan,Yes,Yes,"1892 - present (levelling), 1996 - present (GPS), 2006 - 2012 (InSAR), 1987 - present (tilt), 1990 - present (strain)","<p>Aira caldera is located within Kagoshima Bay at the southern end of Kyushu in Japan. Sakurajima, an active andesitic stratovolcano, sits on the southern rim of the caldera. It is Japan&#8217;s most active volcano, often experiencing daily Vulcanian eruptions.<br />
Aira caldera, and Sakurajima in particular, are closely monitored by the Sakurajima Volcano Research Centre &#8211; part of the University of Kyoto and Disaster Prevention Research Institute. Deformation has been recorded at Aira caldera since 1892 with campaign levelling surveys. This captured the 1m of subsidence associated with the 1914 Plinian eruption of Sakurajima. More recently, the volcano is continuously monitored with GPS, tiltmeters and strainmeters. These are supplemented with campaign GPS and levelling surveys, and sporadic InSAR acquisitions.<br />
The recent deformation patterns show a large-scale radial outwards bulge with continual inflation, centred within the caldera. Between 1996 and 2007, GPS results indicated a maximum inflation rate of ~1.5 cm/yr (<em>Iguchi</em>, 2013; <em>Hickey et al</em>., 2015). This has generally been interpreted as magma supply to a deep reservoir beneath the caldera, with an average magma supply rate of ~10<sup>7</sup> m<sup>3</sup>/yr (<em>Iguchi</em>, 2013; <em>Hickey et al</em>., 2015). The location of the deformation source is somewhat undefined. &#8216;Mogi&#8217; model results place it directly beneath the centre of the caldera at 8 &#8211; 11 km depth (<em>Iguchi</em>, 2013; <em>Pepe et al</em>., 2013), or alternatively slightly south of this beneath the northern edge of Sakurajima (<em>Yokoyama</em>, 2013). Finite Element model inversions accounting for topography and three-dimensional crustal mechanics as well as thermal effects indicate a large oblate shaped reservoir beneath the north-eastern quadrant of the caldera at a depth of 13 km (<em>Hickey et al</em>., 2015).<br />
Alterations to the general large scale inflation pattern are thought to be caused by a second, shallower (3 &#8211; 6 km) deformation source inferred as a short-term magma reservoir (<em>Iguchi</em>, 2013; <em>Pepe et al</em>., 2013), and/or magma flowing between the two sources (<em>Hidayati et al</em>., 2007; <em>Iguchi</em>, 2013; <em>Hickey et al</em>., 2015).<br />
&nbsp;</p>
",31.593000000000004,130.657,"InSAR, GPS - continuous, GPS - campaign, Levelling, Strainmeter, Tiltmeter",Magmatic,"['Iguchi, M. (2013), Magma movement from the deep to shallow Sakurajima volcano as revealed by geophysical observations, Bulletin of the Volcanological Society of Japan, 58(1), 1–18.', 'Hickey, J., J. Gottsmann, M. Iguchi, and H. Nakamichi (2015), Persistent inflation at Aira caldera accompanying explosive activity at Skurajima volcano: Constraining deformation source parameters from Finite Element inversions, in EGU General Assembly, Vienna, Austria.', 'Pepe, S., D. Trippanera, F. Casu, P. Tizzani, A. Nobile, Y. Aoki, S. Zoffoli, V. Acocella, and E. Sansosti (2013), The 2006-2012 deformation at Sakurajima stratovolcano (Japan) detected via spaceborne multisensor SAR Interferometry, in EGU General Assembly, Vienna, Austria.', 'Yokoyama, I. (2013), An interpretation on secular changes in deformation caused by the 1914 eruption of Sakurajima volcano, Bulletin of the Volcanological Society of Japan, 58(1), 77–90.', 'Hidayati, S., K. Ishihara, and M. Iguchi (2007), Volcano-tectonic earthquakes during the stage of magma accumulation at the Aira caldera, southern Kyushu, Japan, Bulletin of the Volcanological Society of Japan, 52(6), 289–309.']","Japan, Taiwan, Marianas",
akademia_nauk,Akademia Nauk,300125,Russia,Yes,No,1992 to 2003,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",53.98,159.45,No measurements,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300125']",Kamchatka and Mainland Asia,
akhtang,Akhtang,300320,Russia,Yes,No,1992 to 2003,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",55.43,158.65,No measurements,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300320']",Kamchatka and Mainland Asia,
akutan,Akutan,311320,United States,Yes,Yes,"1992 - 2002, 2004 - 2009","<p>During 1996 Akutan experienced a seismic swarm, and interferograms spanning June 1995 and September 1996 indicate ~60 cm of uplift on the western side of Akutan Island. This uplift is attributed to magma intrusion. On the northwest flank of the volcano, localised subsidence is observed in a region of intense ground cracking and extension. On the eastern half of the island, interferograms show broad subsidence comparable in magnitude to the uplift observed in the western part. This subsidence is coincident with thermal features and is thought to reflect depressurisation of the hydrothermal system as a result of the earthquake swarm. Displacements of ~5 cm are also observed on two normal faults that bound a graben on the southeast side of the island. This displacement suggests the island was in extension during the time of the earthquake swarm.<br />
This deformation episode is modelled using a four-source model including an expanding dike dipping at 75º with top depth 0.4 km, two contracting horizontal dislocation planes at depth 3.6 and 16.5 km, and a further steeply dipping contracting dislocation plane with top depth 6.7 km.<br />
Prior to and following the seismic swarm (1992 &#8211; 1995 and 1996 &#8211; 2002), the northwestern flank of Akutan was uplifted relative to the southwestern flank at ~1 cm/yr, whilst the region of ground cracking subsided by ~2 cm/yr following seismicity. This subsidence is thought to be caused by cooling and degassing of magma that was intruded in 1996.<br />
Uplift of the northwestern flank continued between 2004 and 2009 at ~1 cm/yr. This deformation is modelled at the same horizontal location as the dike source associated with the earthquake swarm but at a greater depth of 5 &#8211; 6.5 km and a shallower dip. This long term, steady uplift of the volcano is attributed to slow accumulation of magma.<br />
Interferograms also show persistent, time-varying subsidence within Akutan caldera at rates of 2 &#8211; 5 cm/yr. The source of this deformation is shallow (&lt;2 km depth) and is associated with the hydrothermal system.</p>
",54.13399999999999,-165.986,InSAR,"Hydrothermal, Magmatic, Faulting/tectonics","['Lu, Zhong, Wicks, Charles, Kwoun, Ohig, Power, J.A., and Dzurisin, Daniel, 2005, Surface deformation associated with the March 1996 earthquake swarm at Akutan Island, Alaska, revealed by C-band ERS and L-band JERS radar interferometry: Canadian Journal of Remote Sensing, v. 31, p. 7-20.', 'Lu, Z., and Dzurisin, D., 2014, InSAR imaging of Aleutian volcanoes: Chichester, UK, Springer-Praxis, 390 p.', 'U.S. Geological Survey Alaska Volcano Observatory (AVO) website<br />\nhttp://www.avo.alaska.edu/volcanoes/volcinfo.php?volcname=Akutan']",Alaska,
,Al Harrah,231001,Saudi Arabia,No,,,"<p class=""p1"">A national seismic network is located in Saudi Arabia and the Saudi Geological Survey monitor some Holocene volcanoes in the country.</p>
",31.08,38.42,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=231001'],Middle East and Indian Ocean,
,Harrat Ash Shamah,231001,Syria - Jordan - Saudi Arabia,No,,,"<p>The Harrat Ash Shaam volcanic province (HASV) is the largest volcanic field in the Arabian plate</p>
",37.583,1100.0,No measurements,,"['Almalki, K. A., Betts, P. G., & Ailleres, L. (2015). The Red Sea–50 years of geological and geophysical research. Earth-Science Reviews, 147, 109-140.']",Kuril Islands,
,Alaid,290390,Russia,No,,,"<p>The Kamchatka Volcanic Eruption Response Team (KVERT) monitors Alaid<a href=""http://www.kscnet.ru/ivs/kvert/volcano.php?lang=en""> with satellite imagery</a> and seismonitors.</p>
",50.861000000000004,155.565,No measurements,,['Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=290808'],Africa and Red Sea,
alayta,Alayta,221112,Ethiopia,Yes,No,,"<p>Alayta is a shield volcano found at the western edge of the Danakil depression. The area has fresh lava flows, but no recent activity has been reported.<br />
<span style=""color: #333333;"">Pagli et al. (2014), for the purposes of investigating regional velocity fields, have looked at Envisat InSAR data covering this volcano. They report no deformation.<br />
</span></p>
",12.888,40.573,InSAR,,"['Pagli, C. et al., 2014. Current plate boundary deformation of the Afar rift from a 3-D velocity field inversion of InSAR and GPS. Journal of Geophysical Research: Solid Earth, 119(11), pp. 8562-8575.', 'NASA Landsat image, 1999. ']",Mediterranean and W. Asia,
,Alban Hills,211004,Italy,Yes,Yes,1950 to present ,"<p class=""p1"">From Anzidei et al., 2010: An uplift of ~30 cm over the last 43 years was recently detected by levelling surveys performed in the time span 1950-1993 along a levelling line that crosses the highest elevation area of the western flank of the volcano. The comparison between the 1950-1999 surveys show significant uplift, whereas the subsequent surveys (1997-1999 and 2002) have not shown uplift at a confidence level of 95%. From 2002 to 2006, a small uplift is detected along the leveling line and the Albano lake levelling circuit.</p>
<p class=""p1"">Space-based GPS and InSAR observations confirm that this uplift is distributed in a wide area around the craters of Albano and Nemi, where the most recent volcanic activity occurred. GPS data from continuous monitoring stations indicate that both horizontal and vertical deformations do occur and that can be addressed to a shallow magmatic source.</p>
<p class=""p1"">The simplest model able to fit the low number of GPS observations (14 measurements from 6 GPS stations, 4 rejected due to local effects) is a point-pressure source at a depth of about 4.7 km, on the western flank of the Colli Albani complex.</p>
<p class=""p1"">A SAR dataset used to study the Colli Albani area is composed by ERS1 and ERS2 images, for a total of 66 SAR descending acquisitions available from June 1992 to December 2000, whilst 34 images from April 1993 until November 2000 concern the ascending dataset. An uplift zone, mainly located on the west part of the Colli Albani caldera complex is clearly evident. A maximum of about 2.5 mm/yr is measured by the PS close to the villages of Ariccia and Albano (Salvi <i>et al. </i>2004).</p>
<p class=""p1"">All data sets are in agreement and indicate that this volcano shows active deformation with uplift rates within 6 mm/year. These are mainly located in a well defined area that includes the surroundings of the Albano and Nemi lakes and the main villages of Marino, Albano and Ariccia, the area of the most recent volcanic activity.</p>
",41.73,12.7,"InSAR, GPS - continuous, GPS - campaign, Levelling",Magmatic,"['Anzidei, M., F. Rigussi, and S. Stramondo (2010) Current geodetic deformation of the Colli Albani volcano: A review, in The Colli Albani Volcano, Eds., R. Funiciello and G. Giordano, The Geological Society of London.', 'Salvi, S., Atzori, S., Tolomei, C., Allevi, J., Ferretti, A., Rocca, F., Prati, C., Stramondo,<br />\nS., Feuillet, N., 2004. Inflation rate of the Colli Albani volcanic complex retrieved by the<br />\npermanent scatterers SAR interferometry technique. Geophysical Research Letter 31 (12).<br />\ndoi:10.1029/2004GL020253.', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=211004']",South America,
alcedo,Alcedo,353040,Ecuador,Yes,Yes,1992 - 2001,"<div class=""page"" title=""Page 14"">
<div class=""layoutArea"">
<div class=""column"">
If we assume a sim- ilar value for magma emplaced beneath Alcedo, between 0.6 and 10% of the magma would need to crystallize each year, to give the model distribution of volume reduction at 95% confidence. Note that the probability distribution for percentage of crystallization is less well constrained than that for volume reduction, as it also de- pends on the total volume which is not so well constrained. Cooling of the solidified magma could also contribute further to the volume reduction, with up to 2% contraction being the estimated value for solidified Krafla magma. Loss of volatiles from the magma chamber would reduce the pressure, also leading to a reduction in volume, but the pressure decrease required to produce the surface displacements
</div>
<div class=""column"">
would be between 23 and 370 MPa yr−1 at 95% confidence. This range is too high to be plausibly produced by the loss of volatiles alone. Ref 1
</div>
</div>
</div>
",-0.43,-91.12,InSAR,Magmatic,"['Hooper, A., Segall, P., & Zebker, H. (2007). Persistent scatterer interferometric synthetic aperture radar for crustal deformation analysis, with application to Volcán Alcedo, Galápagos. Journal of Geophysical Research: Solid Earth, 112(B7).']",Africa and Red Sea,
ale_bagu,Ale Bagu,221090,Ethiopia,Yes,No,"1996-1997, 2005 - 2010","<p>Atzori et al (1999) processed ERS 1/2 InSAR data from 1996-1997 to look at Erta Ale, but report no deformation. In addition, <span style=""color: #333333;"">Pagli, et al. (2014), for the purposes of investigating regional velocity fields, has looked at Envisat InSAR data (2005 &#8211; 2010) covering this volcano. They also report no deformation.<br />
</span></p>
",13.52,40.63,InSAR,,"['Atzori, S., Coltelli, M., Marsella, M., & Puglisi, G. (1999). ERS1/2 interferometry on Erta Ale volcano: the study of a proto-ocean ridge using SAR. Fringe 1999 Wokshop. ', 'NASA Landsat image, 1999', 'Pagli, C. et al., 2014. Current plate boundary deformation of the Afar rift from a 3-D velocity field inversion of InSAR and GPS. Journal of Geophysical Research: Solid Earth, 119(11), pp. 8562-8575.']",South America,
,Alexander Selkirk,356801,Chile,No,,,,-33.763000000000005,-80.811,No measurements,,['http://volcano.si.edu/volcano.cfm?vn=356801'],Africa and Red Sea,
alid,Alid,221040,Eritrea,Yes,No,2005 - 2010,"<p><span style=""color: #333333;"">Alid is a elongated (east-west) stratovolcano located in the Danakil depressed, Afar. Deposits are mostly basaltic to rhyolitic lava flows. </span>Pagli, et al. (2014), for the purposes of investigating regional velocity fields, has looked at Envisat InSAR data (2005 – 2010) covering this volcano. They report no deformation. Some fumarolic activity can be found towards this north of this volcano however.<br />
The most recent eruptions are thought to be fissure eruptions of Holocene age (Siebert and Simkin, 2002). .</p>
",14.88,39.92,InSAR,,"['Pagli, C. et al., 2014. Current plate boundary deformation of the Afar rift from a 3-D velocity field inversion of InSAR and GPS. Journal of Geophysical Research: Solid Earth, 119(11), pp. 8562-8575.', 'Siebert, L., and T. Simkin (2002), Volcanoes of the World: An Illustrated Catalogue of Holocene Volcanoes and Their Eruptions, Global Volcanism Program Digital Inf. Ser., GVP‐3, Smithsonian Inst., Washington, D. C. [Available at http://www.volcano.si.edu/world/.]']",South America,
aliso,Aliso,352031,Ecuador,Yes,No,2007-2011,"<p>No deformation was detected at the Aliso volcano complex during a regional ALOS survey of Northern Andes Volcanoes (Morales Rivera et al., 2016).</p>
",-0.53,-78.0,InSAR,,"['Morales Rivera, A. M., F. Amelung, and P. Mothes (2016), Volcano deformation survey over the Northern and Central Andes with ALOS InSAR time series, Geochem. Geophys. Geosyst., 17, 2869–2883, doi:10.1002/2016GC006393.']",Canada and Western USA,
,Alligator Lake,320020,Canada,No,,,,60.42,-135.42,No measurements,,"['Hickson C J, Edwards B R, 2001. Volcanoes and Volcanic Hazards in Canada. In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248']",Mexico and Central America,
almolonga,Almolonga,342040,Guatemala,Yes,No,2007-2010,"<p>No deformation was detected at Almolonga (detection threshold 0.8 cm/yr) during an ALOS survey of Central American volcanoes (Ebmeier et al., 2013).</p>
",14.797,-91.51899999999999,InSAR,,"['Ebmeier, S. K., J. Biggs, T. A. Mather, and F. Amelung (2013), On the lack of InSAR observations of magmatic deformation at Central American volcanoes, J. Geophys. Res. Solid Earth, 118, 2571–2585, doi:10.1002/jgrb.50195.']",Kamchatka and Mainland Asia,
alney-chashakondzha,Alney-Chashakondzha,300450,Russia,Yes,No,1992 to 2003,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",56.7,159.65,InSAR,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300450']",Kamchatka and Mainland Asia,
alngey,Alngey,300600,Russia,No,,,"<p>Pritchard and Simons present ERS-1 and -2 and RADARSAT data for northern Kamchatka between 1992 and 2003, although most volcanoes are only covered during the last three years. The authors state there is a complete list in the GSA Data Repository Item 2004139.<br />
The Institute of Volcanology and Seismology (IVS FEB RAS) and Kamchatka Volcanic Eruption Response Team (KVERT) are responsible for monitoring volcanoes and providing aviation alerts.</p>
",57.7,160.4,No measurements,,"['Pritchard, M. E., & Simons, M. (2004). Surveying volcanic arcs with satellite radar interferometry: The central Andes, Kamchatka, and beyond. GSA Today, 14(8), 4-11.<br />\nGSA Data Repository Item 2004139. Tables DR1 and DR2 and Figures DR1–DR3, is available on request from Documents Secretary, GSA, P.O. Box 9140, Boulder, CO 80301-9140, USA, editing@geosociety.org, or at www.geosociety.org/pubs/ft2004.htm', 'Smithsonian Institution Global Volcanism Program<br />\nhttp://www.volcano.si.edu/volcano.cfm?vn=300600']",Africa and Red Sea,
alu-dalafilla,Alu-Dalafilla,221060,Ethiopia,Yes,Yes,2008 - 2010,"<p>In November 2008 an eruption occurred at the Alu-Dalafilla volcanoes, causing lava flows to extend to the NE. Pagli et al. (2012) showed that this eruption was sourced by a 1 km deep elongated magma chamber that exists in two segments, and was probably trigged by an influx of magma from the north. Both magma chamber segments appeared to source the eruption though a connecting dyke. The magma chambers have since, rapidly, refilled.<br />
InSAR was the primary tool to determine deformation during the eruption. Co-eruptive interferograms show an elongated, ~ 10-km-long, subsidence of 1.9<span class=""mb""><span class=""mb""> </span></span>m at the Alu volcano, and at Alu-South, maximum subsidence of 1<span class=""mb""><span class=""mb""> </span></span>m. From 5 November 2008 the deformation pattern at Alu-South reversed and uplift started, whereas at Alu minor subsidence continued between 5th November and 19th November but afterwards reversed to uplift. Since then, uplift occurred both at Alu and Alu-South. The maximum dyke opening to model this observation was 4.6<span class=""mb""><span class=""mb""> </span></span>m and the total dyke volume was 5.1×10<sup>6</sup><span class=""mb""><span class=""mb""> </span></span>m<sup>3. </sup>The observation of post-eruptive uplift is interpreted as the refilling of the source magma chamber.</p>
",13.793,40.55,InSAR,Magmatic,"['Pagli, C., Wright, T. J., Ebinger, C. J., Yun, S. H., Cann, J. R., Barnie, T., & Ayele, A. (2012). Shallow axial magma chamber at the slow-spreading Erta Ale Ridge. Nature Geoscience, 5(4), 284-288.', 'http://volcano.si.edu/volcano.cfm?vn=221060']",Africa and Red Sea,
